# This phoneme mapping csv file for language 'de' is created by Phoneme Bot of OpenVoice-Tech Wiki (https://OpenVoice-Tech.net).
# Based on revision #2351 of page 'Phoneme list German (de)'
# Provided automatically on Fri Mar 25 19:40:55 2022 and without any warranty!
# Feel free to improve this list on OpenVoice-Tech Wiki (https://openvoice-tech.net/index.php?title=Phoneme_list_German_%28de%29).

mycroft	maɪkrɔft
coqui	koːkiː
booten	buːtən
timer	taɪmɜ
johnson	dʃɔnzən
liveblog	laɪfblɔk
facebook	ɛfhɛːzeːbʊk
monsieur	mɪsiːøː
reboot	riːbuːt
bla	bluːp
try	tɾaɪ
error	ɛroːɾ 
